k,subset,seed,model,r2,mae,rho
4,7,1,GAT,-0.1737417695444501,0.08780350236551847,0.11726684544252784
4,7,2,GAT,-3.1964652120871815,0.18496519618198803,0.012327982793809604
4,7,0,flat,-0.05726981736822334,0.05937802138042168,0.03372185561988716
5,0,0,GAT,-1.8861757910796086,0.17225731716257214,0.2038544608621761
5,0,1,GAT,-1.3963090877152733,0.15816311143723655,0.24413833602827587
5,0,2,GAT,-1.0476385387497111,0.1398243112049379,-0.2295436678688057
5,0,0,flat,-0.1420522186152462,0.10869461502250169,0.05266856892336237
5,1,0,GAT,-15.144011965004633,0.23298210766562466,0.1656777449509059
5,1,1,GAT,-27.958722454259153,0.3044704717714451,0.15440083364565413
5,1,2,GAT,-8.03156896605487,0.17503636865129873,0.01692954105454089
5,1,0,flat,-2.4984231775100887,0.07221550981681504,-0.23712695212717
5,2,0,GAT,-0.7646580098198925,0.13289464556844693,0.16564239306424655
5,2,1,GAT,0.06780396630915198,0.0884264660216199,0.40692693254062046
5,2,2,GAT,-0.03251687543548698,0.07253640206118854,0.15190875279517801
5,2,0,flat,-0.01365028551695402,0.06176468810831452,0.0904998712573694
5,3,0,GAT,0.27059895429432246,0.052320031066435416,0.5980393047058191
5,3,1,GAT,-2.4057906571417313,0.15101501314454638,-0.3659369022794828
5,3,2,GAT,-2.6705584018289508,0.13064363274069965,0.619831949895512
5,3,0,flat,-0.1552676568109319,0.05608325379117775,-0.16075022088725882
5,4,0,GAT,-31.56661500793654,0.14541776052163127,-0.6352478621842766
5,4,1,GAT,-23.798039002531162,0.13040206192893772,-0.5602947493085058
5,4,2,GAT,-8.08674985648233,0.07438797388789538,0.37460954270052454
5,4,0,flat,-10.235001675459536,0.06556128647162747,0.2594021576256267
5,5,0,GAT,-0.9373990935651264,0.08412118611365449,-0.2079503959239079
5,5,1,GAT,-0.4486117691126792,0.09931657711931753,0.006260276528586657
5,5,2,GAT,-1.2219524511999609,0.09443877161064317,0.16959481782940303
5,5,0,flat,0.08476800617049363,0.05055655986476983,0.07719005665473933
5,6,0,GAT,-1.0084622179124665,0.14821878647844539,-0.464246046658602
5,6,1,GAT,-1.759236539323091,0.18523263085098285,-0.5319195139025925
5,6,2,GAT,-0.7623926656516264,0.137608618196763,-0.22636767007527162
5,6,0,flat,-0.34899991290359655,0.09675871309562759,0.07481489652480222
5,7,0,GAT,-0.338421886168943,0.09806776770370142,0.23394690202480345
5,7,1,GAT,-0.2697930824826502,0.09448463271861328,-0.053375149943978836
5,7,2,GAT,-0.1264950679097947,0.08921711012908114,0.6711096743228607
5,7,0,flat,-0.22299009243817913,0.09771403896902948,-0.09067054865505254
6,0,0,GAT,-0.14015588338851526,0.06875210523599581,0.07607230751201219
6,0,1,GAT,0.08430442870075228,0.08157767256545038,-0.0033809914449783197
6,0,2,GAT,-0.5885929259479088,0.09272103704553071,-0.12524610336341263
6,0,0,flat,-0.39143319054334236,0.08013660441097878,-0.04853802882925114
6,1,0,GAT,-8.936790493763347,0.13517496758538244,-0.012824964066036898
6,1,1,GAT,-45.01283109253708,0.3108730100264222,0.018624290011536287
6,1,2,GAT,-16.580843745195374,0.1857814752567652,0.0007566607037469212
6,1,0,flat,0.0473541457051756,0.026426546206361933,0.0539455595524213
6,2,0,GAT,0.179404060338764,0.06504040563954275,0.7697848531946695
6,2,1,GAT,-1.3686392213994667,0.18586022759650941,-0.5798247486565316
6,2,2,GAT,-0.7247283049218147,0.09872428878624054,0.5981829028343363
6,2,0,flat,-0.21568498441322492,0.08193054622052953,-0.03813920630372261
6,3,0,GAT,-1.1803609276065972,0.08142659354473344,-0.2592186333222055
6,3,1,GAT,-22.958353754253274,0.3383382345286992,-0.17993847918020472
6,3,2,GAT,-1.0412195517806992,0.07866941321940912,-0.21060420377726294
6,3,0,flat,-0.5067971300727088,0.051258129746747295,0.10061290581656179
6,4,0,GAT,-0.7697255305594919,0.0560613819774697,-0.45640242698538447
6,4,1,GAT,-0.3975992103256134,0.039976478483497085,-0.4527279991836144
6,4,2,GAT,-3.812690216638762,0.1082256594746712,-0.46978434309392614
6,4,0,flat,-1.3159955069330294,0.048126003042422434,-0.41449295331490993
6,5,0,GAT,-787.4004004552532,0.12180460081756297,0.25953357553029416
6,5,1,GAT,-645.134488490754,0.10547059810723118,-0.10100492206726824
6,5,2,GAT,-2155.2636182263864,0.20228765030902038,-0.36479257002226645
6,5,0,flat,-88.12683767176739,0.0258838904910897,-0.16706609633188796
6,6,0,GAT,-2.5847710618968516,0.19990808971595211,0.3636945891541323
6,6,1,GAT,-2.0522296989225715,0.17485710644521169,0.27551619447607084
6,6,2,GAT,-2.1300557169718584,0.1881074992621366,0.41509834324806927
6,6,0,flat,-1.8785812263940085,0.17516698400786498,0.2705835480743679
