tau_shelf,buffer_mult,category,seed,duration_hr,severity,R_buffer,R_reconfig,R_null,data_class
0.0,4.0,D1,3141500020,551.6049701463794,0.865653943618379,0.41994993820048365,0.7400236231374583,0.41995990191943644,SYNTHETIC/physics-forward-model
0.0,4.0,D1,3141500021,1380.4187543602452,0.8037037789843835,0.539343061380917,0.7862398302037023,0.539527421227305,SYNTHETIC/physics-forward-model
0.0,4.0,D1,3141500022,498.80435951369657,0.34709055275758693,0.8214609384652639,0.9151442512515504,0.8215385822737401,SYNTHETIC/physics-forward-model
0.0,4.0,D1,3141500023,940.6790672916757,0.9092700535100975,0.3325537023918579,0.7068449116405452,0.3326067364844226,SYNTHETIC/physics-forward-model
0.0,4.0,D1,3141500024,184.23146437111683,0.3028555430029599,0.8203084535445577,0.9174065152988923,0.8212781562542308,SYNTHETIC/physics-forward-model
0.0,4.0,D1,3141500025,1160.0073824046303,0.37674747701389055,0.7641745348682674,0.8984620708316255,0.7884280324420563,SYNTHETIC/physics-forward-model
0.0,4.0,D1,3141500026,226.60667335916594,0.7647060041847665,0.4234315037183732,0.7469069615828762,0.42508569052339423,SYNTHETIC/physics-forward-model
0.0,4.0,D1,3141500027,1053.7785411181785,0.5838314355878191,0.5864589194793892,0.8162969410159225,0.5865816142680684,SYNTHETIC/physics-forward-model
0.0,4.0,D1,3141500028,1257.7099875885342,0.6620859031015945,0.4885731198034968,0.7764296498645875,0.4885991769213567,SYNTHETIC/physics-forward-model
0.0,4.0,D1,3141500029,89.05275907456787,0.5629822888724128,0.5967917929842634,0.8330481166110538,0.6432101120435352,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500000,123.8847185280154,0.39750673119355406,0.7291844937992606,0.8764226784569283,0.7291844937992606,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500001,380.0025249706349,0.8419959785618836,0.3849937153751142,0.7234179616602359,0.3849937153751142,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500002,1026.145905232949,0.7332672976063588,0.5566984547417962,0.7913436728567405,0.5566984547417962,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500003,739.6798094867412,0.9452162597520086,0.31898168362157375,0.6939745869471042,0.31898168362157375,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500004,598.307019525019,0.7443784459650544,0.47357809449681043,0.7564471486677858,0.47357809449681043,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500005,707.5847918782703,0.7028151792541779,0.43089479344770615,0.7485201923418168,0.43089479344770615,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500006,454.43219646364776,0.32450577949745835,0.8285625308732099,0.9170961102382815,0.8285625308732099,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500007,1304.1502400793968,0.5317976221456646,0.5644592162403074,0.8068747091096642,0.5644592162403074,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500008,644.113921392527,0.46227183774587316,0.6951799645361221,0.8579127092054307,0.6951799645361221,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500009,899.763156413535,0.9042087027239574,0.49598901542372364,0.7608266740531181,0.49598901542372364,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500010,1406.0222339634852,0.5401848786037575,0.7055460035459713,0.8560164270915964,0.7055460035459713,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500011,273.98162106534147,0.4896512937759735,0.6897332524223854,0.8563194140185334,0.6897332524223854,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500012,403.45589872006605,0.42455264860926245,0.7852760211529741,0.8956646835887189,0.7852760211529741,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500013,1232.3615592886422,0.6419036013116965,0.5141251835230842,0.7826831494655765,0.5141251835230842,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500014,841.243907394657,0.779121705726282,0.5498200851853061,0.7867421093514773,0.5498200851853061,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500015,1097.918917029275,0.609975804064369,0.6225313359841258,0.8243105470541113,0.6225313359841258,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500016,1180.6428338621943,0.8282034833218654,0.3443241545051663,0.7091456084774435,0.3443241545051663,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500017,315.6076314052882,0.4478080178139334,0.7768827762856984,0.8909903258674033,0.7768827762856984,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500018,758.6987008496483,0.6710840720466635,0.5567141889662718,0.7920796157288879,0.5567141889662718,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500019,862.6015218073472,0.49604938916829333,0.6082114863988545,0.824244543280527,0.6082114863988545,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500020,551.6049701463794,0.865653943618379,0.417710766588642,0.7343109580035624,0.417710766588642,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500021,1380.4187543602452,0.8037037789843835,0.5374664150205499,0.7815484097334379,0.5374664150205499,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500022,498.80435951369657,0.34709055275758693,0.8206739850314667,0.9132820371249731,0.8206739850314667,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500023,940.6790672916757,0.9092700535100975,0.33026146424943326,0.7004056546985473,0.33026146424943326,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500024,184.23146437111683,0.3028555430029599,0.8205055444412737,0.9156078997358615,0.8205055444412737,SYNTHETIC/physics-forward-model
336.0,1.0,D1,3141500025,1160.0073824046303,0.37674747701389055,0.7873556467404893,0.8962025112312557,0.7873556467404893,SYNTHETIC/physics-forward-model
